Transaction Time,Order Id,Cashfree Order ID,Order Amount,Order Currency,Reference Id,Customer Phone,Payment Mode,Transaction Status,Failure Reason,Refunded,Transaction Amount,Transaction Currency,Refund Type,Captured,Customer Reference ID
23-08-2025 11:33,order_1049774831fxYlgF7taxDt0uof4T8OwgoUZ,2196161399,1000,INR,5.11E+12,1234567890,UPI,SUCCESS,Simulated response message,FALSE,1000,INR,NOT_REFUNDED,1,ZfkMvZkFjAXLQsd7Mdm9VgO00sX2
23-08-2025 11:33,order_1049774831fxYlgF7taxDt0uof4T8OwgoUZ,2196161399,1000,INR,5.11E+12,1234567890,UPI,USER_DROPPED,User dropped and did not complete the two factor authentication,FALSE,1000,INR,NOT_REFUNDED,0,ZfkMvZkFjAXLQsd7Mdm9VgO00sX2
23-08-2025 11:32,order_1049774831fxVNGUapI6B1QmcTZRr43w6mM,2196161397,1000,INR,5.11E+12,1234567890,UPI,SUCCESS,Simulated response message,FALSE,1000,INR,NOT_REFUNDED,1,ZfkMvZkFjAXLQsd7Mdm9VgO00sX2
23-08-2025 11:31,order_1049774831fxQFpt8qqNLZRzxwVWIxPhSlg,2196161370,1000,INR,5.11E+12,1234567890,UPI,USER_DROPPED,User dropped and did not complete the two factor authentication,FALSE,1000,INR,NOT_REFUNDED,0,ZfkMvZkFjAXLQsd7Mdm9VgO00sX2
23-08-2025 11:30,order_1049774831fx99TV0awZie48tw3k9TCWttI,2196161345,1000,INR,5.11E+12,1234567890,DEBIT_CARD,FAILED,Simulated response message,FALSE,1000,INR,NOT_REFUNDED,0,ZfkMvZkFjAXLQsd7Mdm9VgO00sX2
23-08-2025 11:29,order_1049774831fx2pTuPL1Kt8gYuMmpI2crGoA,2196161338,1000,INR,5.11E+12,1234567890,UPI,SUCCESS,Simulated response message,FALSE,1000,INR,NOT_REFUNDED,1,ZfkMvZkFjAXLQsd7Mdm9VgO00sX2
06-08-2025 13:45,order_1049774830uCcL1ORpneGhbijUgLgt0QRbj,2195635686,1145,INR,5.11E+12,8124542317,UPI,USER_DROPPED,User dropped and did not complete the two factor authentication,FALSE,1145,INR,NOT_REFUNDED,0,FcmbOABXrncpVooenGhJOVT2e0F2
06-08-2025 11:58,order_1049774830tzUzo98O1YLqbYyiAZzUS24Ha,2195631936,538,INR,5.11E+12,8608067217,UPI,SUCCESS,Simulated response message,FALSE,538,INR,NOT_REFUNDED,1,jgrtya1WhZejyFACDJI2DcmxIQq2
06-08-2025 11:22,order_1049774830tv9v5DX9rVSbYt590WTXCpHYl,2195631203,295,INR,5.11E+12,7010668791,UPI,SUCCESS,Simulated response message,FALSE,295,INR,NOT_REFUNDED,1,MUGVc9LbRFhu6mQJ6f08yZEvx993
06-08-2025 11:17,order_1049774830tuXot2opEmWHtekDUrlmp01L6,2195631081,100,INR,5.11E+12,1234567890,UPI,SUCCESS,Simulated response message,FALSE,100,INR,NOT_REFUNDED,1,MUGVc9LbRFhu6mQJ6f08yZEvx993
